ParticipantNumber,Mean_Block1_Seq5,Mean_Block1_Seq6,Mean_Block1_Seq7,Mean_Block1_Seq8,Mean_Block2_Seq5,Mean_Block2_Seq6,Mean_Block2_Seq7,Mean_Block2_Seq8,Mean_Block3_Seq5,Mean_Block3_Seq6,Mean_Block3_Seq7,Mean_Block3_Seq8,Mean_Block4_Seq5,Mean_Block4_Seq6,Mean_Block4_Seq7,Mean_Block4_Seq8
31,100,58.3333333333333,14.2857142857143,18.75,100,66.6666666666667,21.4285714285714,25,60,100,28.5714285714286,NaN,NaN,16.6666666666667,14.2857142857143,18.75
32,80,66.6666666666667,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,100,NaN,NaN,37.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,100,NaN,42.8571428571429,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,92,83.3333333333333,85.7142857142857,62.5,100,16.6666666666667,NaN,12.5,NaN,NaN,NaN,NaN,40,NaN,28.5714285714286,12.5
40,100,16.6666666666667,57.1428571428571,12.5,NaN,NaN,NaN,NaN,100,58.3333333333333,100,NaN,100,58.3333333333333,42.8571428571429,100
41,40,100,21.4285714285714,NaN,100,50,28.5714285714286,31.25,100,100,NaN,NaN,100,16.6666666666667,21.4285714285714,56.25
